created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 23:56:38 +0000 2023;1,69559E+18;☄️yukkk guysss... ☄️ https://t.co/PNv6VnLdvf;0;0;0;0;en;1,68663E+18;1,69559E+18;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695586080819654708
Sat Aug 26 23:56:09 +0000 2023;1,69559E+18;ada kakak kakak yang mau pinjemin buku-buku ini ngga ya buat 1 semester? kalo bisa yang kelasnya iup, tapi kalo ada yg indo gapapa juga 😭 nanti aku dm -ness tia https://t.co/pUdQ12Qh2G;0;5;0;1;in;1,18728E+18;1,69559E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695585959142936790
Sat Aug 26 23:55:33 +0000 2023;1,69559E+18;@unnesmenfess yukk kakkk;0;0;0;0;in;1,68663E+18;1,69551E+18;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695585807514697923
Sat Aug 26 23:54:49 +0000 2023;1,69559E+18;@unnesmenfess yuk kakk💗💗 https://t.co/PNv6VnLdvf;0;0;0;0;in;1,68663E+18;1,69555E+18;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695585622944317732
Sat Aug 26 23:54:23 +0000 2023;1,69559E+18;@unnesmenfess yukk kak;0;0;0;0;in;1,68663E+18;1,69558E+18;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695585512374042910
Sat Aug 26 23:51:29 +0000 2023;1,69558E+18;@tanyarlfes anying unnes;0;0;0;0;en;1,61214E+18;1,69525E+18;kinberl766;https://twitter.com/kinberl766/status/1695584785148899779
Sat Aug 26 23:49:39 +0000 2023;1,69558E+18;-ness nih yg butuh kerjaan aku ada info https://t.co/IJqStmsGc0;0;2;0;1;in;1,18728E+18;1,69558E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695584323645366442
Sat Aug 26 23:48:33 +0000 2023;1,69558E+18;-ness info bengkel mobil area unnes/semarang yang buka hari minggu dong ness, thanks in advance 🥺;0;0;0;0;in;1,18728E+18;1,69558E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695584046229979468
Sat Aug 26 23:46:42 +0000 2023;1,69558E+18;siap jalan kaki patemon unnes 😄👊;0;1;0;0;in;1,37401E+18;1,69558E+18;adv0cad;https://twitter.com/adv0cad/status/1695583578296565797
Sat Aug 26 23:35:20 +0000 2023;1,69558E+18;Hidden gem sekitar unnes yg nyaman buat wfc dong? Gue butuh semangat buat mulai ngerjain proyek ini wkwkwk;0;3;0;3;in;2798543532;1,69558E+18;urslxttybaby;https://twitter.com/urslxttybaby/status/1695580718477594786
Sat Aug 26 23:31:18 +0000 2023;1,69558E+18;geprek aybund buka nya jam berapa -ness;0;1;1;0;in;1,18728E+18;1,69558E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695579702596141521
Sat Aug 26 23:28:00 +0000 2023;1,69558E+18;@unnesmenfess DM nder;0;0;0;0;tr;1,4126E+18;1,69558E+18;cndy09__;https://twitter.com/cndy09__/status/1695578874015567978
Sat Aug 26 23:13:44 +0000 2023;1,69558E+18;-ness ada yang ready jastip sekarang nggak yaa ?;0;8;0;3;in;1,18728E+18;1,69558E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695575283917877322
Sat Aug 26 23:11:39 +0000 2023;1,69557E+18;#NAME?;0;2;0;0;in;1,18728E+18;1,69557E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695574761194336364
Sat Aug 26 22:51:27 +0000 2023;1,69557E+18;@tanyarlfes Lho Unnes @unneskonservasi;0;0;0;0;in;45805563;1,69525E+18;hendradedi;https://twitter.com/hendradedi/status/1695569675810398563
Sat Aug 26 22:49:03 +0000 2023;1,69557E+18;ini aneh bgt semalem aku mimpi di belakang unnes ada gurun pasir yang lagi ngehisap gitu tapi luas bgt diameter hisapannya jadi dijaga ketat;0;1;0;0;in;1271143681;1,69557E+18;moon1205am;https://twitter.com/moon1205am/status/1695569072057164254
Sat Aug 26 22:46:50 +0000 2023;1,69557E+18;-dearness aku ga pernah pacaran dari lahir WKWKWKWK, cara deketin cowok biar ga keliatan agresif gimana?;0;2;0;5;in;1,18728E+18;1,69557E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695568511849132273
Sat Aug 26 22:43:05 +0000 2023;1,69557E+18;@unnesmenfess Ready, Kak, driver cewek. Bisa langsung WA ke link yg ada di bio ya;0;0;0;0;in;1,54528E+18;1,69549E+18;Arsonist_Hope;https://twitter.com/Arsonist_Hope/status/1695567569657463243
Sat Aug 26 22:34:12 +0000 2023;1,69557E+18;@unnesmenfess DM nder;0;0;0;0;tr;1,4126E+18;1,69555E+18;cndy09__;https://twitter.com/cndy09__/status/1695565334881911265
Sat Aug 26 22:11:50 +0000 2023;1,69556E+18;anjem&amp jastip bang rizal ready yaa hari ini 💗🛵💨;0;0;0;0;in;1,68663E+18;1,69556E+18;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695559705664610732
Sat Aug 26 22:07:35 +0000 2023;1,69556E+18;-ness kayanya aku beneran butuh satu temen disini deh, soalnya kaya ngerasa sepii bgt, yaa meskipun udah terbiasa sendiri sih.;0;32;0;18;in;1,18728E+18;1,69556E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695558637106950438
Sat Aug 26 21:27:31 +0000 2023;1,69555E+18;-ness info anjem yg ready jemput di sukun sekarangg dong ?;0;6;0;1;in;1,18728E+18;1,69555E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695548554109227167
Sat Aug 26 21:20:19 +0000 2023;1,69555E+18;#NAME?;0;2;0;3;in;1,18728E+18;1,69555E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695546742824227123
Sat Aug 26 21:03:22 +0000 2023;1,69554E+18;-ness Beli tas kyk gini di sekitar unnes dimana ya? https://t.co/r7zc1oz155;0;4;0;3;in;1,18728E+18;1,69554E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695542477518975208
Sat Aug 26 20:14:07 +0000 2023;1,69553E+18;@unnesmenfess Tapi meskipun ga kepake yauda si ikutin aja, itung2 jd cerita pengalaman masuk UNNES;0;0;0;0;in;1,2242E+18;1,6955E+18;cheeszzee;https://twitter.com/cheeszzee/status/1695530081991705056
Sat Aug 26 20:12:33 +0000 2023;1,69553E+18;alhamdulillah sy keterima unnes nih;0;0;0;0;in;1,23327E+18;1,69553E+18;bestieugm;https://twitter.com/bestieugm/status/1695529687169335588
Sat Aug 26 20:01:52 +0000 2023;1,69553E+18;#NAME?;0;7;0;0;in;1,18728E+18;1,69553E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695526999593566239
Sat Aug 26 19:59:12 +0000 2023;1,69553E+18;siapa yang mau oper kos unnes?/lagi bhtuh kos fasilitas kos - km dalem - dapur di dalem kamar - meja - lemari - kasur - include wifi sama listrik sama sampah  harga 8,250k alasan di oper fakultas pindah ke bawah;0;0;0;0;in;1,41498E+18;1,69553E+18;NabilaP79514999;https://twitter.com/NabilaP79514999/status/1695526328014168139
Sat Aug 26 19:53:16 +0000 2023;1,69552E+18;Info jasa bantuin pindahan barang2 dari area Unnes ke Semarang bawah dong;0;0;0;0;in;3236253197;1,69552E+18;Pengenricheese;https://twitter.com/Pengenricheese/status/1695524833344585977
Sat Aug 26 19:30:05 +0000 2023;1,69552E+18;#NAME?;0;2;0;0;in;1,18728E+18;1,69552E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695518999873007842
Sat Aug 26 19:15:59 +0000 2023;1,69552E+18;blm nonton yg kos horror unnes ini, mumpung jam segini asik nih nonton. mari nobar https://t.co/47vIJi01xj;0;0;0;1;in;1,20035E+18;1,69552E+18;watsapmamang;https://twitter.com/watsapmamang/status/1695515449944154173
Sat Aug 26 19:11:57 +0000 2023;1,69551E+18;@ahanjingg se unnes apa ya;0;0;0;0;in;1,14405E+18;1,69551E+18;pandascent;https://twitter.com/pandascent/status/1695514434603749666
Sat Aug 26 18:47:42 +0000 2023;1,69551E+18;#NAME?;0;3;0;1;in;1,18728E+18;1,69551E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695508334248591846
Sat Aug 26 18:45:40 +0000 2023;1,69551E+18;@nisrintot unnes juga bgitu;0;1;0;0;in;1,51794E+18;1,69548E+18;beboiboy;https://twitter.com/beboiboy/status/1695507822371557854
Sat Aug 26 18:27:22 +0000 2023;1,6955E+18;-ness sapa mau bareng aku ke gbi gama jam 9 pagi? Make motor ku tapi depanin;1;1;0;0;in;1,18728E+18;1,6955E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695503214958067821
Sat Aug 26 18:27:04 +0000 2023;1,6955E+18;-ness ada yg pernah ke psikolog unnes ngga ya? klo ada reply dong sender mo tanya tq 🫶;0;1;0;3;in;1,18728E+18;1,6955E+18;unnesmenfess;https://twitter.com/unnesmenfess/status/1695503142476194063
